RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 28/4/2023 20:30:0 | STATUS_END_RECORD false
RECORDER -----> 00:1a:79:74:b7:66 | 10.30.15.239 | 28/4/2023 20:30:0 | STATUS_END_RECORD /media/USB-E0D55E6CE787F560A94D2380-1/11102_NBA_Basketball_undefined.ts
RECORDER -----> 00:1a:79:6d:RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 2/5/2023 21:0:0 | STATUS_END_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11154_Will_Trent_undefined.ts
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 2/5/2023 21:53:39 | INFORMATION_RECEIVED udp://@225.1.1.91:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 2/5/2023 21:53:39 | STATUS_PLAYING udp://@225.1.1.91:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 2/5/2023 21:53:41 | INFORMATION_RECEIVED udp://@225.1.1.51:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 2/5/2023 21:53:41 | STATUS_PLAYING udp://@225.1.1.51:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 2/5/2023 21:55:45 | INFORMATION_RECEIVED udp://@225.1.1.91:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 2/5/2023 21:55:45 | STATUS_PLAYING udp://@225.1.1.91:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 2/5/2023 21:55:48 | INFORMATION_RECEIVED udp://@225.1.1.3:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 2/5/2023 21:55:48 | STATUS_PLAYING udp://@225.1.1.3:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 3/5/2023 0:1:39 | INFORMATION_RECEIVED udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 3/5/2023 0:1:39 | STATUS_PLAYING udp://@225.1.1.129:2001
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 3/5/2023 0:34:0 | STATUS_START_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11157_Local_4_News_at_11_undefined.ts
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 3/5/2023 0:59:0 | STATUS_END_RECORD /media/USB-0401db78d701c046e95deca0812d65b8336c011bb822952e4a1dba7eadb4805f7ea500000000000000000000a4b7de0900836d18a355810715ac22c1-1/11157_Local_4_News_at_11_undefined.ts
RECORDER -----> 00:1a:79:6d:d1:a3 | 10.30.11.241 | 3/5/2023 0:59:0 | STATUS_END_RECORD false
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 3/5/2023 0:1:18 | INFORMATION_RECEIVED udp://@225.1.1.3:2001
MULTICAST -----> 00:1a:79:74:b7:d4 | 10.30.14.210 | 3/5/2023 0:1:18 | STATUS_PLAYING udp://@225.1.1.3:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 4/5/2023 0:1:2 | INFORMATION_RECEIVED udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 4/5/2023 0:1:2 | STATUS_PLAYING udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 4/5/2023 0:1:52 | INFORMATION_RECEIVED udp://@225.1.1.129:2001
MULTICAST -----> 00:1a:79:6d:d2:99 | 10.30.15.129 | 4/5/2023 0:1:52 | STATUS_PLAYING udp://@225.1.1.129:2001
